Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Rockin' Robin,Bobby Day,4FlYcJnfkeBpowEHJ72Bmt,0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992,160080
School Day (Ring Ring Goes The Bell),Chuck Berry,1ABzAAYXXU8VQDMdhmC1U3,0.771,0.863,7,-5.086,1,0.046,0.816,3.01e-05,0.107,0.951,130.913,160693
All Shook Up,Elvis Presley,5ueyLj6e6oVaTY0KQ6yLaA,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,117080
Under the Boardwalk,The Drifters,65jrjEhWfAvysKfnojk1i0,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,161960
"See You Later, Alligator",Bill Haley & His Comets,3CIXs8QRRpJJAQ3PnB233j,0.65,0.674,8,-12.587,1,0.0614,0.517,0.000197,0.398,0.806,157.913,164360
Let's Twist Again,Chubby Checker,1INWPr855fwWdAOeecbu0W,0.604,0.709,8,-6.377,1,0.158,0.0987,0.0,0.0551,0.907,167.832,137360
In The Still of the Night,The Five Satins,0GVvRmCoiLkhxJvlZy9bLk,0.43,0.33,6,-10.621,1,0.0353,0.876,0.0,0.105,0.316,108.824,187667
Smoke Gets In Your Eyes,The Platters,2vSxjnyrWrtxyfzO47EX6q,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,160933
Do You Wanna Dance,Bobby Freeman,3eOPqWsjHNM73kL6j6z9cY,0.502,0.566,0,-13.04,1,0.0435,0.794,6.61e-05,0.0799,0.969,170.14,156160
"Shout, Pts. 1 & 2",The Isley Brothers,2ZNTPtYmAhN9vCwnAgqKn1,0.489,0.866,10,-7.433,1,0.0933,0.753,0.0,0.876,0.416,138.63,268560
You're Sixteen,Johnny Burnette,5NOITvzXKvrqsRqJz5FgIJ,0.434,0.458,2,-8.861,1,0.0351,0.797,0.0,0.0698,0.749,76.269,119000
Get a Job,The Silhouettes,159rgKUbEoPXBfjMwC27pO,0.624,0.42,7,-9.907,1,0.0345,0.677,0.000694,0.111,0.838,80.021,169629
